image,text
all_images_processed\001 High fever more than 103.jpg,A  Bangladeshi woman extremely fatigued having fever feeling cold and wearing a red shawl putting her hand around her with a thermometer inside her mouth
all_images_processed\001 lethargy or extreme fatigue.jpg,A Bangladeshi girl wearing pink kamiz with blue Orna looking lethargic
all_images_processed\001 Muscle and joint pain.jpg,A Bangladeshi woman wearing salwar kamiz looking severely in pain putting her hand over hip can't move or stand straight
all_images_processed\001 Nausea.jpg,A Bangladeshi woman wearing saree looking nauseated putting her hand over tummy
all_images_processed\001 Passing fewer than three stools a week.jpg,a man sitting on the toilet putting his hand over his tummy looking constipated
all_images_processed\001 Severe Headache.jpg,A Bangladeshi girl wearing salwar kamiz putting her both hands over head looking extremely in pain
all_images_processed\001 Sudden high fever.jpg,A Bangladeshi man wearing blue T-shirt putting his one hand over forehead looking in high fever holding a thermometer in another hand
all_images_processed\002 Nausea.jpg,A Bangladeshi pregnant women looking fatigued and nauseated putting one hand over her tummy another infront of her mouth
all_images_processed\002 Sore red throat with white patches.jpg,Mouth cavity showing white patches over tonsils
all_images_processed\002 vomiting.jpg,A Bangladeshi woman throwing vomits putting her hands over her tummy
all_images_processed\003  Nausea and vomiting.jpg,A Bangladeshi girl wearing salwar kamiz looking nauseated putting her hand on tummy another infront of her mouth
all_images_processed\003 A headache.jpg,A Bangladeshi man wearing blue T-shirt having extreme pain in his head putting his both hands over head
all_images_processed\003 pain in abdomen.jpg,A bangladeshi woman wearing Sare having menstrual pain putting her both hands over her lower tummy
all_images_processed\003 Vomiting.jpg,A Bangladeshi pregnant women looking fatigued and nauseated putting one hand over her tummy another infront of her mouth
all_images_processed\003 Weakness.jpg,A bangladeshi girl wearing pink salwar kamiz looking extremely lethargic
all_images_processed\004  Eye pain.jpg,A bangladeshi girl wearing salwar kamiz putting her both hands over both eyes having extreme eye pain
all_images_processed\004 Belching.jpg,A Bangladeshi woman wearing sare putting one hand over her upper tummy another hand over her mouth and burping
all_images_processed\004 Cannot clear all stools.jpg,A Bangladeshi man sitting on commode and waiting for his poop to come outside looking tensed
all_images_processed\004 Chills.jpg,A Bangladeshi man wearing blue T-shirt feeling cold putting his arms around him
all_images_processed\004 Pale Skin.jpg,A bangladeshi girl wearing salwar kamiz putting her hand over her cheek looking anxious and in pain
all_images_processed\005 feeling of fullness .jpg,A Bangladeshi woman wearing sare putting her hand over her tummy and burping
all_images_processed\005 Light Headness.jpg,A bangladeshi girl wearing salwar kamiz putting her hand over head and looking tensed
all_images_processed\005 Loss of appetite.jpg,"A Bangladeshi man wearing blue T-shirt sitting in a dining table having food platter in front of him but not interested to eat looking malaise and tensed, putting one hand over his cheek  "
all_images_processed\005 Severe Headache.jpg,A bangladeshi girl wearing pink salwar kamiz having extreme headache putting her both hands over her forehead
all_images_processed\005 Yoga 2.jpg,A bangladeshi girl doing her yoga session over her yoga mat
all_images_processed\006 Dizziness.jpg,A bangladeshi girl wearing pink salwar kamis putting her hands over head slightly bending forwards looking tensed
all_images_processed\006 Drink Lots of water.jpg,"A bangladeshi boy wearing sky blue tshirt holding a half glass full water in his left hand, right hand is pointing at the glass, smiling and happy "
all_images_processed\006 Meditation.jpg,a Bangladeshi girl wearing Orange tshirt meditating with closed eyes in lotus position
all_images_processed\006 Pain in lower Abdomen.jpg,A Bangladeshi woman wearing pink and lavender salwar kameez putting hands over her tummy slightly bending forward and laterally looking sick and anxious
all_images_processed\006 Pain in upper stomach.jpg,A Bangladeshi woman wearing saree putting her hands over her tummy
all_images_processed\006 Swollen lymph nodes.jpg,A Bangladeshi boy wearing blue tshirt putting his right hand over a swelling on his neck
all_images_processed\007 Bloating.jpg,A Bangladeshi woman wearing yellow saree putting left hand over her distended tummy with her mouth open
all_images_processed\007 Difficulty Swallowing.jpg,A Bangladeshi man wearing blue tshirt holding his neck with his left hand and looking very anxious
all_images_processed\007 Eat High Fiber food.jpg,"stomach filled with apple, nuts, brocolli and carrot "
all_images_processed\007 Pain in lower Abdomen Sharp or dull.jpg,"1. A Bangladeshi woman wearing lavender and pink kameez holding her tummy, looking very toxic in pain 2.Bangladeshi woman wearing lavender and pink kameez holding her tummy and looks anxious "
all_images_processed\007 Prayer.jpg,A Bangladeshi muslim lady wearing orange burkha praying her namaz in a blue prayer mat with a plant beside her
all_images_processed\007 Shortness of breathing.jpg,A bangladeshi girl wearing pink salwar kameez trying to catch her breath because of breathlessness
all_images_processed\008 Diarrhea.jpg,"A bangladeshi woman wearing yellow saree holding her tummy with both hands, looking sick and thinking about washroom in front of ladies toilet "
all_images_processed\008 dont eat processed foods.jpg,"bread, butter, milk, steak meat, oil, sugar, flour, salt inside a not allowed sign "
all_images_processed\008 Stress Management.jpg,A bangladeshi girl wearing orange tshirt meditating closing her eyes in lotus positions with many questionsurrounding her
all_images_processed\008 Unexplained Fatigue.jpg,A Bangladeshi girl wearing pink salwar kameez bending forward and laterally feeling sick
all_images_processed\008 Vomiting.jpg,A bangladeshi girl wearing pink salwar kameez bending forward and vomiting with green vomits
all_images_processed\009 Avoid Wine coffee chocolates.jpg,"A glass of red wine, A bottle of red wine, Lemons, oranges, chocolates, coffee "
all_images_processed\009 Drinking hotwater.jpg,A bangladeshi man wearing blue tshirt looking happy holding a cup of hot beverage with right hand and showing thumbs up with right hand
all_images_processed\009 inflammation your tongue.jpg,tongue sticking out with multiple rounded nodules over it
all_images_processed\009 Shiver.jpg,A Bangladeshi woman wearing saree is holding her both arms in crisscrossed manner with opened mouth and showing her teeth chattering
all_images_processed\009 Stay active and excersice.jpg,A Bangladeshi boy watering sky blue tshirt and half pant running and jogging
all_images_processed\009 Vomiting 3 times in 24 hours.jpg,"A bangladeshi girl wearing pink salwar kameez bending forward, slightly downwards  and holding her thighs and vomitting green vomitus"
all_images_processed\010 Drink Cold Water.jpg,A bangladeshi boy wearing blue tshirt drinking water from a glass holding with his right hand
all_images_processed\010 Rapid heartbeat.jpg,A bangladeshi girl wearing pink salwar kameez holding her chest on left side feeling anxious and thinking about increased heart rate
all_images_processed\010 vomiting blood.jpg,"A bangladeshi girl wearing pink salwar kameez bending forward, slightly downwards and holding her thighs and vomitting fresh blood "
all_images_processed\011 Cold hands an feet.jpg,A Bangaldeshi girl wearing pink dress and light brown shawl and holding her hands together
all_images_processed\011 Mist Humidifier.jpg,A blue bottle and a bubble coming out of it
all_images_processed\011 Skin Rash.jpg,A Bangladeshi girl wearing pink salwar kameez looking worried about the rashes on her hands and face
all_images_processed\012 Discomfort.jpg,A Bangladeshi woman wearing saree holding her tummy with both hands feeling sad
all_images_processed\013 Apple cidar vinegar and Honey.jpg,A glass and bottle of apple cider vinegar with Apples
all_images_processed\013 Brittle Nails.jpg,this picture is showing hand of a women with brittle nails
all_images_processed\013 Constipation.jpg,A lady wearing yellow saree with blue blouse is holding her stomach with two hand most probably due to stomach pain
all_images_processed\014 Cramping.jpg,a women wearing yellow saree with blue blouse compressing her  belly with two hands due to stomach pain
all_images_processed\014 Malnutrition.jpg,a women wearing purple dress ith blue scarf is holding her head due to headache
all_images_processed\014 No vaccination.jpg,this picture is showing a vial of vaccine and a syringe containing vaccine with a do not use sign on it
all_images_processed\015 Anxiety.jpg,a women wearing yellow saree with blue blouse is covering her face and a sign of aura over her head representing anxiety
all_images_processed\015 Wash you hands.jpg,this picture is showing a  person is washing his hands with clean tap water
all_images_processed\016 Discomfort upper stomach.jpg,a women wearing yellow saree with blue blouse is holding her upper abdomen with her two hands due to discomfort
all_images_processed\017 Depression.jpg,a bangladeshi women sitting on the floor tightly holding her two legs and pressing it towards her chest
all_images_processed\017 Don_t Share towel.jpg,this picture is showing some towels with a do not use sign over it
all_images_processed\017 Sadness.jpg,a women wearing a purple kameez and blue orna is sitting with her right hand over her right side of the face looking depressed
all_images_processed\018 Sadness.jpg,a women wearing  yellow saree and blue blouse is lying on the bed and crying
all_images_processed\019 Dizziness.jpg,a women wearing yellow saree and blue blouse is having headache
all_images_processed\019 heavy or prolonged periods.jpg,a uterus is shading blood and a thought bubble showing calender over it representing menstruation days
all_images_processed\019 Sneez in crookeed Elbow.jpg,a young man wearing blue shirt is coughing by covering her mouth with his hand
all_images_processed\020 leg pain during exercise.jpg,a young lady wearing purple shirt blue pant and a snicker is holding her ankle due to pain
all_images_processed\021 Fainting.jpg,a young lady wearing purple kameez and blue orna is falling on the floor and her eyes are closed
all_images_processed\021 Weight loss.jpg,a bangladeshi women wearing saree is looking very lean and thin due to weight loss
all_images_processed\022 Low blood pressure.jpg,a bangladeshi women is measuring her blood pressure with sphygmomanometer
all_images_processed\023 Constipation.jpg,a women wearing purple dress with blue scarf is sitting on the toilet and crying due to constipation
all_images_processed\23 lethargy or extreme fatigue.jpg,a women wearing purple dress and blue scarf is bending a bit and holding her knee with one hand due to fatigue
all_images_processed\24 Iron Deficiency.jpg,a drop of  blood lacking blood within it showing anemia
all_images_processed\025 Kidney failure.jpg,a women wearing purple dress with blue scarf is compressing her right lower back having a thought bubble of kidney in it
all_images_processed\25 Pale Skin.jpg,a women wearing purple dress with blue scarf is touching her face
all_images_processed\026 Pain in Abdomen.jpg,a women wearing purple dress with blue scarf is compressing her lower abdomen with her two hands due to pain
all_images_processed\027 Dehydration.jpg,a women who is exposed to sun and she is sweating. she is trying to protect her face from sunlight by putting a hand over her forehead as her face has turned red
all_images_processed\028 Abnormal Vaginal Bleeding.jpg,cross section of a uterus shading blood representing menstruation
all_images_processed\032 Eat iron containing food.jpg,"a pile of fresh fruits and vegetables along with chicken, meat and egg representing a balanced diet chart"
all_images_processed\034 Eat vitamin containing food.jpg,a variety of fruits and veggies
"all_images_processed\036 Tomato, Strawberries and oranges.jpg",sliced tomatoes oranges and strawberries
all_images_processed\036 vomiting blood.jpg,a women wearing yellow saree is vomiting blood holding her lower abdomen
